time,open,high,low,close,volume
2023-11-03 19:59:00,138.4400,138.4400,138.4200,138.4400,3536
2023-11-03 19:58:00,138.4100,138.4400,138.4100,138.4300,1036
2023-11-03 19:57:00,138.3800,138.4200,138.3800,138.3950,2838
2023-11-03 19:56:00,138.3700,138.3900,138.3500,138.3800,512
2023-11-03 19:55:00,138.3750,138.3750,138.3600,138.3600,387
2023-11-03 19:54:00,138.3600,138.3800,138.3600,138.3750,1282
2023-11-03 19:53:00,138.3500,138.4000,138.3500,138.3500,80
2023-11-03 19:52:00,138.3700,138.4000,138.3500,138.4000,469
2023-11-03 19:51:00,138.3900,138.4000,138.3700,138.3700,333
2023-11-03 19:50:00,138.3900,138.4200,138.3900,138.3900,88
2023-11-03 19:49:00,138.3700,138.3900,138.3600,138.3700,11
2023-11-03 19:48:00,138.4000,138.4000,138.3600,138.4000,7
2023-11-03 19:47:00,138.4000,138.4400,138.3600,138.3700,897
2023-11-03 19:46:00,138.4200,138.4200,138.3500,138.3500,506
2023-11-03 19:45:00,138.3500,138.4000,138.3500,138.3950,353
2023-11-03 19:44:00,138.3500,138.4500,138.3500,138.3950,32
2023-11-03 19:43:00,138.3600,138.4200,138.3500,138.3500,610
2023-11-03 19:42:00,138.4400,138.4400,138.3500,138.3600,56
2023-11-03 19:41:00,138.4000,138.4000,138.3600,138.3950,143
2023-11-03 19:40:00,138.3750,138.4000,138.3750,138.4000,20
2023-11-03 19:39:00,138.4000,138.4000,138.4000,138.4000,20
2023-11-03 19:38:00,138.3800,138.4300,138.3500,138.3950,1053
2023-11-03 19:37:00,138.3950,138.3950,138.3500,138.3900,13
2023-11-03 19:36:00,138.3500,138.4000,138.3500,138.3900,18
2023-11-03 19:35:00,138.3950,138.3950,138.3500,138.3950,162
2023-11-03 19:34:00,138.3950,138.3950,138.3700,138.3700,177
2023-11-03 19:33:00,138.3500,138.3500,138.3500,138.3500,50
2023-11-03 19:32:00,138.4000,138.4000,138.3700,138.3950,6
2023-11-03 19:31:00,138.4000,138.4000,138.3500,138.3700,5045
2023-11-03 19:30:00,138.3600,138.4500,138.3500,138.4500,208
2023-11-03 19:29:00,138.3600,138.4000,138.3500,138.4000,308
2023-11-03 19:28:00,138.4500,138.4500,138.3500,138.3700,135
2023-11-03 19:27:00,138.3800,138.4500,138.3800,138.4500,21
2023-11-03 19:26:00,138.3800,138.3800,138.3650,138.3800,2443
2023-11-03 19:25:00,138.3700,138.3800,138.3500,138.3800,353
2023-11-03 19:24:00,138.4250,138.4250,138.3650,138.3650,599
2023-11-03 19:23:00,138.4000,138.4300,138.4000,138.4250,4
2023-11-03 19:22:00,138.4500,138.4500,138.4100,138.4500,36
2023-11-03 19:21:00,138.4300,138.4300,138.4300,138.4300,122
2023-11-03 19:20:00,138.4300,138.4500,138.4100,138.4300,84
2023-11-03 19:19:00,138.4100,138.4500,138.4100,138.4100,96
2023-11-03 19:18:00,138.4350,138.4400,138.4350,138.4400,5
2023-11-03 19:17:00,138.4100,138.4350,138.4100,138.4350,4
2023-11-03 19:16:00,138.4300,138.4350,138.4100,138.4350,126
2023-11-03 19:15:00,138.4600,138.4600,138.4600,138.4600,1
2023-11-03 19:14:00,138.4300,138.4300,138.4100,138.4100,41
2023-11-03 19:13:00,138.4100,138.4600,138.4100,138.4100,1057
2023-11-03 19:12:00,138.4100,138.4300,138.4100,138.4100,37
2023-11-03 19:11:00,138.4120,138.4600,138.4100,138.4600,82
2023-11-03 19:10:00,138.4200,138.4600,138.4100,138.4100,49
2023-11-03 19:09:00,138.4600,138.4600,138.4100,138.4100,33
2023-11-03 19:08:00,138.4100,138.4600,138.4100,138.4600,29
2023-11-03 19:07:00,138.4100,138.4250,138.4000,138.4250,5
2023-11-03 19:06:00,138.4000,138.4600,138.3900,138.4250,142
2023-11-03 19:05:00,138.4400,138.4400,138.3900,138.3900,840
2023-11-03 19:04:00,138.4400,138.4400,138.4200,138.4300,7
2023-11-03 19:03:00,138.4100,138.4300,138.4000,138.4250,204
2023-11-03 19:02:00,138.4000,138.4300,138.3800,138.4100,28
2023-11-03 19:01:00,138.4000,138.4050,138.4000,138.4000,43
2023-11-03 19:00:00,138.4200,138.4200,138.3800,138.3800,382
2023-11-03 18:59:00,138.3700,138.3950,138.3600,138.3800,152
2023-11-03 18:58:00,138.3800,138.4100,138.3800,138.3850,27
2023-11-03 18:57:00,138.4000,138.4100,138.3600,138.3900,543
2023-11-03 18:56:00,138.3700,138.4300,138.3700,138.4000,117
2023-11-03 18:55:00,138.3900,138.4000,138.3600,138.3700,114
2023-11-03 18:54:00,138.3800,138.4000,138.3700,138.3900,289
2023-11-03 18:53:00,138.3950,138.3950,138.3700,138.3750,15
2023-11-03 18:52:00,138.3900,138.4200,138.3500,138.3900,484
2023-11-03 18:51:00,138.3900,138.4300,138.3900,138.3900,212
2023-11-03 18:50:00,138.3900,138.4050,138.3400,138.3500,191
2023-11-03 18:49:00,138.3900,138.4300,138.3900,138.3900,6
2023-11-03 18:48:00,138.4100,138.4300,138.3500,138.3900,73
2023-11-03 18:47:00,138.4000,138.4100,138.4000,138.4100,48
2023-11-03 18:46:00,138.4000,138.4000,138.3700,138.4000,81
2023-11-03 18:45:00,138.3700,138.4300,138.3300,138.4000,108
2023-11-03 18:44:00,138.3400,138.4000,138.3100,138.3600,1257
2023-11-03 18:43:00,138.3250,138.3500,138.3250,138.3500,39
2023-11-03 18:42:00,138.3500,138.4000,138.2500,138.3250,1497
2023-11-03 18:41:00,138.3850,138.3850,138.3300,138.3300,1091
2023-11-03 18:40:00,138.4050,138.4050,138.3800,138.3850,707
2023-11-03 18:39:00,138.4000,138.4100,138.4000,138.4050,195
2023-11-03 18:38:00,138.4200,138.4300,138.4000,138.4050,550
2023-11-03 18:37:00,138.4200,138.4300,138.4100,138.4300,39
2023-11-03 18:36:00,138.4800,138.5600,138.4200,138.4200,51
2023-11-03 18:35:00,138.4400,138.5600,138.4000,138.5000,3396
2023-11-03 18:34:00,138.4600,138.5100,138.4400,138.4400,1531
2023-11-03 18:33:00,138.4600,138.4600,138.4500,138.4600,9
2023-11-03 18:32:00,138.4500,138.4750,138.4500,138.4600,769
2023-11-03 18:31:00,138.4800,138.5000,138.4600,138.4600,179
2023-11-03 18:30:00,138.4850,138.5000,138.4600,138.4800,533
2023-11-03 18:29:00,138.5150,138.5150,138.4600,138.4600,282
2023-11-03 18:28:00,138.5300,138.5300,138.4600,138.5150,326
2023-11-03 18:27:00,138.5250,138.5900,138.4600,138.4950,175
2023-11-03 18:26:00,138.5100,138.5900,138.4800,138.5730,479
2023-11-03 18:25:00,138.5400,138.5450,138.4900,138.5100,1488
2023-11-03 18:24:00,138.5300,138.5800,138.5000,138.5000,63
2023-11-03 18:23:00,138.5300,138.5800,138.4800,138.5300,123
2023-11-03 18:22:00,138.5300,138.5800,138.5050,138.5800,7
2023-11-03 18:21:00,138.5300,138.5800,138.4800,138.5800,110
2023-11-03 18:20:00,138.5450,138.5900,138.4900,138.5350,738
